Company,Customer,Contact,"Job Name","Quote Expire Date",Quote_Number,Note,approve_date
TOR,25213,61693,"29817 - St. Matthias Catholic School Rep",10/14/2022,29817,"Elizabeth Livingston - ",08/15/2022
TOR,12441,47812,"29816 - St. Matthias Catholic School Rep",10/14/2022,29816,"Elizabeth Livingston - ",08/15/2022
TOR,12491,75700,"29815 - 55 University Concourse Renovati",10/14/2022,29815,"Elizabeth Livingston - ",08/15/2022
TOR,11013,37506,"29814 - 55 University Concourse Renovati",10/14/2022,29814,"Elizabeth Livingston - ",08/15/2022
TOR,10981,84572,"29813 - University of Toronto Project at",10/14/2022,29813,"Elizabeth Livingston - ",08/15/2022
TOR,10999,3887,"29812 - University of Toronto Project at",10/14/2022,29812,"Elizabeth Livingston - ",08/15/2022
TOR,10988,68577,"29811 - University of Toronto Project at",10/14/2022,29811,"Elizabeth Livingston - ",08/15/2022
TOR,11001,79191,"29810 - University of Toronto Project at",10/14/2022,29810,"Elizabeth Livingston - ",08/15/2022
TOR,10064,70831,"29809 - Ecole Secondaire Gabriel - Demon",10/14/2022,29809,"Anthony D'Alfonso - ",08/15/2022
TOR,15581,80071,"29807 - 55 University Concourse Renovati",10/14/2022,29807,"Elizabeth Livingston - ",08/15/2022
TOR,15581,77331,"29806 - TSCC – Corridor Refurbishment ",10/14/2022,29806,"Arch Rep. N/A - ",08/15/2022
