"Item ID","Unit Qty",UOM,Unit_Price,Quote_Number,"Sort ID",Note,approve_date
ARG27567,300.00,SF,4.49,32337,1,"PCT-6a
",01/06/2023
ARG27570,100.00,SF,4.49,32337,2,"PCT-6b
",01/06/2023
ARG27562,100.00,SF,4.49,32337,3,"PCT-6c
",01/06/2023
A000,1.00,SF,5.02,32336,1,"FL-TL-04 -  Delconca distributed by Centura. - 200mm x 200 mm.Bianco Micro, 20FR10MA",01/06/2023
A000,1.00,SF,5.02,32336,2,"FL-TL-05 -  Delconca distributed by Centura. - 200mm x 200 mm.Azzurro Macro, Natural , 20FR02MA ",01/06/2023
A000,1.00,SF,5.02,32336,3,"FL-TL-06 -  Delconca distributed by Centura. - 200mm x 200 mm. - Colour: Dipinto FR, 20FR00DIA.",01/06/2023
A000,1.00,SF,5.02,32336,4,"FL-TL-07 -  Delconca distributed by Centura. - 200mm x 200 mm. - Colour: Nero Macro 20FR08MA",01/06/2023
A000,1.00,SF,4.99,32336,5,"Equipe Artisan Series - 65 mm x 200 mm Ochre 24465 EQ-3, glossy / Aqua 24468 EQ-3, glossy/ Graphite 24472 EQ-3, glossy/Ochre 24465 EQ-3, glossy",01/06/2023
A000,1.00,SF,6.10,32336,6,"Equipe 3X6 Matelier - Samoa Blue 26480 /  Mint 26483 EQ-3",01/06/2023
A000,1.00,SF,8.99,32336,7,"FL-TL-02A - Equipe Ceramicas Rhombus Porcelain Tile - 140 mm x 240 mm - all plain colors",01/06/2023
A000,1.00,SF,5.25,32335,1,"TL-06 - Basic Hexagon - Colour: Black and White - Size: 30mm x 30mm x 5mm - Finish: Antislip - Qty TBD",01/06/2023
A000,1.00,SF,5.25,32335,2,"TL-06 - Basic Hexagon - Colour: Black and White - Size: 30mm x 30mm x 5mm - Finish: Antislip - Qty TBD",01/06/2023
A000,1.00,SF,4.38,32335,3,"TL 03/05/63---Lithos 12x24/24x24",01/06/2023
A000,1.00,SF,4.38,32335,4,"TL 03/05/63---Lithos 12x24/24x24",01/06/2023
A000,1.00,SF,7.80,32335,5,"Rex I Classici Statuario 24x48 Glossy
",01/06/2023
A000,1.00,SF,7.80,32335,6,"Rex I Classici Statuario 24x48 Glossy
",01/06/2023
A000,1.00,SF,4.69,32335,7,"TL 08 Mea Lapis 12x24",01/06/2023
A000,1.00,SF,4.69,32335,8,"TL 08 Mea Lapis 12x24",01/06/2023
A000,1.00,SF,4.29,32335,9,"Splendours 3x12 - Color TBD",01/06/2023
A000,1.00,SF,4.29,32335,10,"Splendours 3x12 - Color TBD",01/06/2023
A000,1.00,SF,4.39,32335,11,"Mallorca 3x8 - Color TBD",01/06/2023
A000,1.00,SF,4.39,32335,12,"Mallorca 3x8 - Color TBD",01/06/2023
755844,1.00,SF,6.99,32335,13,"TL 07 Rex Prexious Mountain Treasure 24x48 Glossy",01/06/2023
755844,1.00,SF,6.99,32335,14,"TL 07 Rex Prexious Mountain Treasure 24x48 Glossy",01/06/2023
BHTH01036,1.00,SF,6.15,32335,15,"TL 50",01/06/2023
BHTH01036,1.00,SF,6.15,32335,16,"TL 50",01/06/2023
K794212,1.00,SF,3.49,32335,17,"TL 62",01/06/2023
K794212,1.00,SF,3.49,32335,18,"TL 62",01/06/2023
E917,380.00,SF,6.39,32332,1,TL-1,01/06/2023
FL416WGN,650.00,SF,3.99,32332,2,TL-2,01/06/2023
LIOA848,720.00,SF,7.59,32332,3,TL-5,01/06/2023
